data,pm10,so2,no2,o3,co
2020-01-01 00:00:00,75.08,19.3,7.06,,
2020-01-01 02:00:00,65.41,13.62,4.96,,
2020-01-01 03:00:00,44.93,13.68,8.32,,
2020-01-01 05:00:00,30.96,15.21,5.24,,
2020-01-01 06:00:00,28.52,17.26,9.1,,
2020-01-01 07:00:00,26.43,14.93,5.94,,
2020-01-01 08:00:00,25.65,13.27,6.08,,
2020-01-01 09:00:00,24.74,15.39,3.83,,
2020-01-01 10:00:00,21.98,12.34,1.86,,
2020-01-01 11:00:00,15.72,9.83,1.3,,
2020-01-01 12:00:00,6,9.61,1.64,,
2020-01-01 13:00:00,6,11.45,1.74,,
2020-01-01 14:00:00,6,12.7,1.15,,
2020-01-01 15:00:00,6,10.16,1.48,,
2020-01-01 16:00:00,6,9.2,0.96,,
2020-01-01 17:00:00,6,8.82,0.47,,
2020-01-01 18:00:00,6,8.23,0.47,,
2020-01-01 19:00:00,6,7.96,1.58,,
2020-01-01 20:00:00,13.97,6.81,0.96,,
2020-01-01 21:00:00,25.87,5.73,,,
2020-01-01 22:00:00,28.36,5.12,0.47,,
2020-01-01 23:00:00,31.5,4.83,,,
2020-01-02 00:00:00,34.4,5.14,0.47,,
2020-01-01 04:00:00,35.31,16.46,8.35,,
2020-01-01 01:00:00,78.7,18.49,6.32,,
2020-01-02 01:00:00,32.16,4.7,,,
2020-01-02 19:00:00,6,4.68,,,
2020-01-02 20:00:00,6,4.66,,,
2020-01-02 21:00:00,13.54,4.51,,,
2020-01-02 22:00:00,23.72,4.65,,,
2020-01-02 23:00:00,31.31,5.18,,,
2020-01-03 00:00:00,34.29,5.17,,,
2020-01-02 02:00:00,25.79,4.52,,,
2020-01-02 03:00:00,28.01,4.3,,,
2020-01-02 04:00:00,26.77,4.39,,,
2020-01-02 05:00:00,19.01,4.34,,,
2020-01-02 06:00:00,15.14,4.23,,,
2020-01-02 07:00:00,6,4.53,,,
2020-01-02 08:00:00,6,4.69,,,
2020-01-02 09:00:00,6,4.35,,,
2020-01-02 10:00:00,6,4.19,,,
2020-01-02 11:00:00,6,4.17,,,
2020-01-02 12:00:00,6,4.12,,,
2020-01-02 13:00:00,6,4.34,,,
2020-01-02 14:00:00,6,4.12,,,
2020-01-02 15:00:00,6,4.15,,,
2020-01-02 16:00:00,6,4.37,,,
2020-01-02 17:00:00,6,4.89,,,
2020-01-02 18:00:00,6,4.29,,,
2020-01-03 01:00:00,28.1,4.83,,,
2020-01-03 02:00:00,21.1,4.49,,,
2020-01-03 03:00:00,20.31,4.98,,,
2020-01-03 04:00:00,22.32,5.2,,,
2020-01-03 05:00:00,16.92,5.07,,,
2020-01-03 06:00:00,18.88,4.62,,,
2020-01-03 07:00:00,16.25,4.57,,,
2020-01-03 08:00:00,14.49,4.39,,,
2020-01-03 09:00:00,,4.99,,,
2020-01-03 10:00:00,,5.2,,,
2020-01-03 11:00:00,,,,,
2020-01-03 12:00:00,6,5.2,,,
2020-01-03 13:00:00,6,4.89,,,
2020-01-03 14:00:00,6,4.95,,,
2020-01-03 15:00:00,6,5.62,,,
2020-01-03 16:00:00,6,5.48,,,
2020-01-03 17:00:00,6,6.41,,,
2020-01-03 18:00:00,6,4.87,,,
2020-01-03 19:00:00,13.58,4.84,,,
2020-01-03 20:00:00,18.36,5.22,,,
2020-01-03 21:00:00,29.48,5.64,,,
2020-01-03 22:00:00,33.91,5.23,,,
2020-01-03 23:00:00,26.58,5.21,,,
2020-01-04 00:00:00,18.48,4.89,,,
2020-01-04 02:00:00,15.26,4.98,,,
2020-01-04 03:00:00,19.65,5.07,,,
2020-01-04 04:00:00,22.84,4.84,,,
2020-01-04 06:00:00,20.69,5.28,,,
2020-01-04 07:00:00,27.22,4.79,,,
2020-01-04 08:00:00,20.75,4.61,,,
2020-01-04 09:00:00,17.74,4.45,,,
2020-01-04 10:00:00,15.14,4.54,,,
2020-01-04 11:00:00,6,4.54,,,
2020-01-04 12:00:00,17.46,4.72,,,
2020-01-04 13:00:00,13.57,4.67,,,
2020-01-04 14:00:00,6,4.58,,,
2020-01-04 15:00:00,6,4.72,,,
2020-01-04 16:00:00,6,4.63,,,
2020-01-04 17:00:00,6,4.82,,,
2020-01-04 18:00:00,6,4.53,,,
2020-01-04 19:00:00,13.48,4.77,,,
2020-01-04 20:00:00,15.69,4.68,,,
2020-01-04 21:00:00,25.86,5.36,,,
2020-01-04 22:00:00,38.05,6.59,,,
2020-01-04 23:00:00,38.49,6.54,,,
2020-01-05 00:00:00,37.85,6.22,,,
2020-01-04 05:00:00,15.27,5.17,,,
2020-01-04 01:00:00,23.75,4.59,,,
2020-01-05 01:00:00,35.75,6.24,2.36,,
2020-01-05 02:00:00,23.42,6.12,2.52,,
2020-01-05 04:00:00,23.76,6.21,2.23,,
2020-01-05 05:00:00,23.83,5.91,1.74,,
2020-01-05 07:00:00,6,5.72,0.47,,
2020-01-05 08:00:00,6,5.69,1.34,,
2020-01-05 10:00:00,15.78,7.96,0.47,,
2020-01-05 11:00:00,6,22.7,2.33,,
2020-01-05 12:00:00,6,25.39,2.64,,
2020-01-05 13:00:00,6,14.6,1.82,,
2020-01-05 14:00:00,6,8.22,2.27,,
2020-01-05 15:00:00,6,6.28,1.22,,
2020-01-05 16:00:00,6,6.32,,,
2020-01-05 17:00:00,6,6.95,0.47,,
2020-01-05 18:00:00,6,7.39,0.47,,
2020-01-05 19:00:00,6,7.17,0.47,,
2020-01-05 20:00:00,6,6.97,1.46,,
2020-01-05 21:00:00,6,7.09,1.74,,
2020-01-05 22:00:00,26.88,6.52,2.5,,
2020-01-05 23:00:00,38.23,6.78,3.34,,
2020-01-06 00:00:00,35.88,6.96,3.67,,
2020-01-05 09:00:00,6,5.21,,,
2020-01-05 06:00:00,12.78,5.7,1.62,,
2020-01-05 03:00:00,33.18,6.15,2.64,,
2020-01-06 01:00:00,37.3,6.56,3.43,,
2020-01-06 02:00:00,38.69,7.51,3.56,,
2020-01-06 03:00:00,46.16,7.53,3.74,,
2020-01-06 04:00:00,33.81,7.21,3.8,,
2020-01-06 05:00:00,33.96,6.34,2.76,,
2020-01-06 06:00:00,28.27,6.43,2.81,,
2020-01-06 07:00:00,23.05,7.15,,,
2020-01-06 08:00:00,20.72,8.49,4.64,,
2020-01-06 09:00:00,44.76,7.92,5.16,,
2020-01-06 10:00:00,24.51,7.56,3.48,,
2020-01-06 11:00:00,13.93,26.18,5.41,,
2020-01-06 12:00:00,6,42.25,6.53,,
2020-01-06 13:00:00,6,12.28,4.11,,
2020-01-06 14:00:00,6,16.32,4.23,,
2020-01-06 15:00:00,6,112.9,11.24,,
2020-01-06 16:00:00,6,12.26,8.05,,
2020-01-06 17:00:00,6,9.28,7.18,,
2020-01-06 18:00:00,6,10.34,10.33,,
2020-01-06 19:00:00,6,10.39,8.6,,
2020-01-06 20:00:00,6,11.15,7.2,,
2020-01-06 21:00:00,6,9.65,5.61,,
2020-01-06 22:00:00,6,18.03,5.13,,
2020-01-06 23:00:00,26.61,8.83,5.95,,
2020-01-07 00:00:00,36.96,8.95,7.7,,
2020-01-07 01:00:00,46.87,11.54,5.04,,
2020-01-07 02:00:00,37.79,9.78,4.13,,
2020-01-07 03:00:00,44.25,10.97,2.96,,
2020-01-07 04:00:00,47.45,10.65,5.71,,
2020-01-07 05:00:00,40.11,9.05,7.77,,
2020-01-07 06:00:00,29.84,8.76,6.12,,
2020-01-07 07:00:00,24.21,9.17,9.44,,
2020-01-07 08:00:00,44.8,13.04,11.03,,
2020-01-07 09:00:00,23.7,22,11.24,,
2020-01-07 10:00:00,12.36,14.36,6.23,,
2020-01-07 11:00:00,6,10.29,3.01,,
2020-01-07 12:00:00,6,9.84,2.48,,
2020-01-07 13:00:00,6,7.94,3.67,,
2020-01-07 14:00:00,6,7.76,5.72,,
2020-01-07 15:00:00,6,7.36,4.03,,
2020-01-07 16:00:00,6,5.62,2.45,,
2020-01-07 17:00:00,6,5.54,4.08,,
2020-01-07 18:00:00,6,5.14,2.31,,
2020-01-07 19:00:00,17.1,5.43,2.82,,
2020-01-07 20:00:00,27.24,5.45,3.22,,
2020-01-07 21:00:00,32.91,6.13,4.53,,
2020-01-07 22:00:00,30.22,6.03,4.06,,
2020-01-07 23:00:00,26.42,6.16,3.2,,
2020-01-08 00:00:00,27.78,6.13,3.51,,
2020-01-09 01:00:00,27.27,6.44,6.33,0.98,
2020-01-09 02:00:00,19.93,6.51,3.92,0.98,
2020-01-09 03:00:00,23.62,6.51,5.45,0.98,
2020-01-09 04:00:00,31.72,6.48,4.71,0.98,
2020-01-09 05:00:00,26.3,6.59,5.05,0.98,
2020-01-09 06:00:00,22.08,6.98,5.38,0.98,
2020-01-09 07:00:00,24.65,8.08,5.82,0.98,
2020-01-09 08:00:00,36.36,9.07,9.65,0.98,
2020-01-09 09:00:00,38.92,7.89,6.45,0.98,
2020-01-09 10:00:00,26.29,23.36,7.94,0.98,
2020-01-09 11:00:00,15.23,104.1,12.3,,
2020-01-09 12:00:00,22.27,30.89,8.48,,
2020-01-09 13:00:00,33.27,9.28,4.3,,
2020-01-09 14:00:00,30.19,8.24,3.05,,
2020-01-09 15:00:00,28.64,7.3,3.01,,
2020-01-09 16:00:00,19.94,5.63,1.89,,
2020-01-09 17:00:00,13.65,5.5,3.83,86.64,
2020-01-09 18:00:00,18.86,6.42,5.15,83.68,
2020-01-09 19:00:00,30.14,8.88,8.18,60.64,
2020-01-09 20:00:00,51.7,11.62,6.24,57.82,
2020-01-09 21:00:00,71.77,11.2,5.7,44.21,
2020-01-09 22:00:00,71.91,8.76,3.72,38.48,
2020-01-09 23:00:00,41,8.08,3.79,34.71,
2020-01-10 00:00:00,42.62,7.56,4.99,33.52,
2020-01-10 01:00:00,47.28,24.59,7.91,31.18,
2020-01-10 02:00:00,51.54,14.38,3.92,35.15,
2020-01-10 03:00:00,48.92,9.79,3.76,36.78,
2020-01-10 04:00:00,29.07,11.15,6.98,22.2,
2020-01-10 05:00:00,31.74,15.64,8.72,15.7,
2020-01-10 06:00:00,30.78,17.12,9.9,10.21,
2020-01-10 07:00:00,29.49,17.86,12.08,10.23,
2020-01-10 08:00:00,37.92,17.64,13.14,28.36,
2020-01-10 09:00:00,40.39,16.94,8.46,42.14,
2020-01-10 10:00:00,28.26,35.68,7.36,52.94,
2020-01-10 11:00:00,17.47,54,6.81,58.17,
2020-01-10 12:00:00,6,52.04,5.03,66.71,
2020-01-10 13:00:00,6,29.2,5.37,64.28,
2020-01-10 14:00:00,6,12.79,4.89,63.01,
2020-01-10 15:00:00,16.79,36.62,8.11,58.13,
2020-01-10 16:00:00,14.67,37.98,12.3,41.12,
2020-01-10 17:00:00,,,,,
2020-01-10 18:00:00,,,,,
2020-01-10 19:00:00,,,,,
2020-01-10 20:00:00,,,,,
2020-01-10 21:00:00,,,,,
2020-01-10 22:00:00,,,,,
2020-01-10 23:00:00,,,,,
2020-01-11 00:00:00,,,,,
