data,pm10,so2,no2,o3,co
2023-01-01 00:00:00,84.98,10.53,2.16,24.55,2.76
2023-01-01 01:00:00,61.21,10.47,1.87,20.09,2.13
2023-01-01 02:00:00,57.57,10.54,2.4,14.81,2.19
2023-01-01 03:00:00,47.29,10.51,2.73,9.85,2.01
2023-01-01 04:00:00,31.68,10.42,1.2,11.7,1.9
2023-01-01 05:00:00,30.53,10.45,1.17,9.94,1.79
2023-01-01 06:00:00,35.4,10.4,0.47,11.96,1.72
2023-01-01 07:00:00,38.48,10.49,0.47,8.72,1.71
2023-01-01 08:00:00,21.75,10.52,0.47,13.44,1.7
2023-01-01 09:00:00,19.06,10.5,0.47,24.6,1.75
2023-01-01 10:00:00,11.41,10.52,0.47,35.35,1.71
2023-01-01 11:00:00,8.2,10.65,0.47,36.98,1.72
2023-01-01 12:00:00,6.35,10.75,0.47,41.07,1.73
2023-01-01 13:00:00,5.39,11.73,0.47,46.29,1.85
2023-01-01 14:00:00,4.33,12.36,0.47,53.35,2
2023-01-01 15:00:00,3.94,11.58,0.47,52.84,1.79
2023-01-01 16:00:00,5.01,10.77,0.47,49.29,1.76
2023-01-01 17:00:00,9.88,10.76,0.47,46.58,1.66
2023-01-01 18:00:00,15.14,10.9,0.47,44.26,1.7
2023-01-01 19:00:00,14.55,10.84,0.47,40.07,1.72
2023-01-01 20:00:00,31.08,10.81,1.32,31.03,1.8
2023-01-01 21:00:00,32.8,10.87,2.47,26.32,1.87
2023-01-01 22:00:00,28.2,10.72,3.0,21.96,1.93
2023-01-01 23:00:00,38.02,10.69,2.19,21.39,1.84
2023-01-02 00:00:00,47.11,10.62,2.2,18.52,1.88
2023-01-02 01:00:00,32.53,10.49,1.58,16.6,1.79
2023-01-02 02:00:00,29.77,10.47,1.37,13.43,1.79
2023-01-02 03:00:00,35.25,10.38,1.61,10.46,1.79
2023-01-02 04:00:00,24.97,11.37,3.63,9.85,1.83
2023-01-02 05:00:00,27.86,13.39,4.26,9.46,1.78
2023-01-02 06:00:00,31.3,15.37,4.55,11.38,1.82
2023-01-02 07:00:00,34.14,14.14,6.32,14.88,2.03
2023-01-02 08:00:00,18.66,12.6,4.63,19.69,2.03
2023-01-02 09:00:00,18.73,11.91,3.25,20.86,1.92
2023-01-02 10:00:00,16.73,11.23,1.92,25.67,1.9
2023-01-02 11:00:00,25.49,13.71,2.15,27.77,1.75
2023-01-02 12:00:00,15.68,30.43,5.21,27.26,1.71
2023-01-02 13:00:00,20.24,30.7,4.4,31.48,1.73
2023-01-02 14:00:00,13.68,41.14,2.91,31.83,1.75
2023-01-02 15:00:00,22.53,21.35,0.47,38.03,1.69
2023-01-02 16:00:00,13.1,21.62,2.59,37.66,1.77
2023-01-02 17:00:00,9.52,20.91,5.39,30.8,1.83
2023-01-02 18:00:00,16.49,14.03,4.1,22.07,2.07
2023-01-02 19:00:00,15.8,13.13,1.78,29.88,1.83
2023-01-02 20:00:00,16.28,12.39,5.26,21.98,2.06
2023-01-02 21:00:00,24.37,12.17,6.22,13.97,2.12
