data,pm10,so2,no2,o3,co
2013-01-01 00:00:00,47.9,0.65,9.4,32.7,
2013-01-01 01:00:00,50.5,0.65,8.5,37.7,
2013-01-01 02:00:00,39.0,0.65,7.2,52.0,
2013-01-01 03:00:00,26.0,0.65,16.0,44.9,
2013-01-01 04:00:00,15.8,0.65,5.4,47.9,
2013-01-01 05:00:00,9.4,0.65,22.1,35.3,
2013-01-01 06:00:00,6.2,0.65,9.0,43.5,
2013-01-01 07:00:00,9.7,0.65,12.7,41.4,
2013-01-01 08:00:00,13.8,0.65,10.4,47.6,
2013-01-01 09:00:00,6.9,0.65,7.2,53.9,
2013-01-01 10:00:00,3.8,0.65,5.6,56.2,
2013-01-01 11:00:00,3.1,0.65,7.3,55.2,
2013-01-01 12:00:00,4.0,0.65,9.1,54.5,
2013-01-01 13:00:00,5.1,0.65,9.7,49.6,
2013-01-01 14:00:00,6.0,0.65,7.7,37.8,
2013-01-01 15:00:00,9.4,0.65,6.9,29.5,
2013-01-01 16:00:00,12.2,0.65,6.4,24.0,
2013-01-01 17:00:00,11.2,0.65,6.6,26.3,
2013-01-01 18:00:00,9.5,0.65,6.9,24.3,
2013-01-01 19:00:00,8.4,0.65,10.2,19.4,
2013-01-01 20:00:00,13.1,0.65,9.8,18.8,
2013-01-01 21:00:00,20.7,0.65,10.7,18.7,
2013-01-01 22:00:00,22.4,0.65,10.8,17.6,
2013-01-01 23:00:00,17.6,0.65,9.5,15.4,
2013-01-02 00:00:00,13.4,0.65,7.8,15.6,
2013-01-02 01:00:00,10.8,0.65,3.6,14.0,
2013-01-02 02:00:00,13.4,0.65,4.1,13.0,
2013-01-02 03:00:00,14.8,0.65,4.4,15.4,
2013-01-02 04:00:00,16.5,0.65,5.0,13.1,
2013-01-02 05:00:00,12.8,0.65,9.6,14.6,
2013-01-02 06:00:00,11.0,0.65,20.9,7.6,
2013-01-02 07:00:00,11.4,0.65,20.4,5.9,
2013-01-02 08:00:00,11.3,0.65,19.9,8.2,
2013-01-02 09:00:00,11.6,0.65,15.4,14.1,
2013-01-02 10:00:00,13.2,0.65,12.7,18.2,
2013-01-02 11:00:00,14.7,0.65,9.6,27.6,
2013-01-02 12:00:00,16.8,0.65,9.7,37.8,
2013-01-02 13:00:00,14.2,0.65,8.2,40.2,
2013-01-02 14:00:00,18.0,0.65,6.8,39.5,
2013-01-02 15:00:00,17.1,0.65,4.8,34.3,
2013-01-02 16:00:00,13.8,0.65,5.2,35.3,
2013-01-02 17:00:00,13.3,0.65,6.3,32.8,
2013-01-02 18:00:00,8.2,0.65,6.3,33.0,
2013-01-02 19:00:00,6.2,0.65,6.7,33.1,
2013-01-02 20:00:00,9.2,0.65,9.8,29.9,
2013-01-02 21:00:00,17.6,0.65,9.8,27.7,
2013-01-02 22:00:00,18.4,0.65,11.5,25.3,
2013-01-02 23:00:00,22.4,0.65,12.9,20.8,
2013-01-03 00:00:00,32.8,0.65,14.1,17.8,
2013-01-03 01:00:00,29.6,0.65,9.2,16.8,
2013-01-03 02:00:00,23.8,0.65,11.8,14.1,
2013-01-03 03:00:00,24.9,0.65,9.5,10.7,
2013-01-03 04:00:00,22.0,0.65,8.9,8.2,
2013-01-03 05:00:00,21.5,0.65,11.2,3.8,
2013-01-03 06:00:00,26.2,0.65,16.9,2.1,
2013-01-03 07:00:00,19.8,0.65,18.5,4.4,
2013-01-03 08:00:00,26.3,0.65,15.4,17.3,
2013-01-03 09:00:00,25.6,0.65,8.6,30.3,
2013-01-03 10:00:00,26.9,0.65,8.8,37.0,
2013-01-03 11:00:00,25.3,0.65,7.3,41.9,
2013-01-03 12:00:00,13.8,0.65,8.7,45.5,
2013-01-03 13:00:00,12.6,0.65,7.4,48.7,
2013-01-03 14:00:00,17.5,0.65,6.9,51.0,
2013-01-03 15:00:00,17.4,0.65,8.1,53.4,
2013-01-03 16:00:00,12.4,0.65,6.6,52.2,
2013-01-03 17:00:00,11.1,0.65,7.3,50.1,
2013-01-03 18:00:00,16.3,0.65,7.1,47.4,
2013-01-03 19:00:00,26.3,0.65,8.9,43.7,
2013-01-03 20:00:00,32.5,0.65,10.2,39.3,
2013-01-03 21:00:00,33.0,0.65,10.8,35.9,
2013-01-03 22:00:00,42.1,0.65,12.0,31.6,
2013-01-03 23:00:00,38.5,0.65,8.6,32.1,
2013-01-04 00:00:00,43.0,0.65,6.7,32.7,
2013-01-04 01:00:00,42.3,0.65,3.5,31.4,
2013-01-04 02:00:00,34.2,0.65,4.8,26.9,
2013-01-04 03:00:00,29.5,0.65,6.5,15.0,
2013-01-04 04:00:00,30.1,0.65,8.3,8.3,
2013-01-04 05:00:00,25.6,0.65,12.2,8.0,
2013-01-04 06:00:00,31.5,0.65,18.2,1.9,
2013-01-04 07:00:00,36.4,0.65,21.5,2.8,
2013-01-04 08:00:00,34.3,0.65,19.4,9.5,
2013-01-04 09:00:00,39.6,0.65,10.0,19.6,
2013-01-04 10:00:00,30.0,0.65,8.8,32.4,
2013-01-04 11:00:00,17.8,0.65,8.1,36.1,
2013-01-04 12:00:00,12.8,0.65,7.8,39.7,
2013-01-04 13:00:00,9.4,0.65,6.1,41.1,
2013-01-04 14:00:00,9.9,0.65,5.8,42.7,
2013-01-04 15:00:00,12.7,0.65,9.3,48.2,
2013-01-04 16:00:00,9.8,0.65,9.2,57.6,
2013-01-04 17:00:00,14.3,0.65,14.1,73.7,
2013-01-04 18:00:00,24.6,0.65,9.7,56.8,
2013-01-04 19:00:00,30.5,0.65,10.6,44.4,
2013-01-04 20:00:00,38.4,0.65,13.6,34.0,
2013-01-04 21:00:00,51.0,0.65,15.1,22.4,
2013-01-04 22:00:00,52.8,0.65,21.6,11.4,
