data,pm10,so2,no2,o3,co
2004-01-01 00:00:00,35.33,0.65,,21.68,0.258
2004-01-01 01:00:00,4.374,3.215,,18.14,0.348
2004-01-01 02:00:00,31.33,2.333,,17.25,0.334
2004-01-01 03:00:00,6.883,2.251,,16.86,0.226
2004-01-01 04:00:00,23.9,1.911,,17.49,0.223
2004-01-01 05:00:00,16.58,1.593,,16.16,0.288
2004-01-01 06:00:00,5.474,1.989,,16.62,0.319
2004-01-01 07:00:00,17.86,1.353,,16.32,0.341
2004-01-01 08:00:00,17.73,0.65,,17.12,0.326
2004-01-01 09:00:00,18.52,1.415,,18.84,0.309
2004-01-01 10:00:00,9.709,0.65,,19.68,0.328
2004-01-01 11:00:00,11.35,2.099,,20.29,0.316
2004-01-01 12:00:00,17.71,5.767,,20.7,0.359
2004-01-01 13:00:00,29.69,1.994,,22.5,0.354
2004-01-01 14:00:00,10.45,0.65,,24.39,0.392
2004-01-01 15:00:00,0.909,0.65,,23.19,0.304
2004-01-01 16:00:00,,0.65,,23.44,0.324
2004-01-01 17:00:00,,0.65,,23.42,0.307
2004-01-01 18:00:00,,0.65,,21.84,0.284
2004-01-01 19:00:00,28.57,0.65,,20.29,0.363
2004-01-01 20:00:00,10.58,0.65,,18.52,0.288
2004-01-01 21:00:00,12.79,1.804,,15.01,0.371
2004-01-01 22:00:00,25.68,1.631,,11.89,0.374
2004-01-01 23:00:00,41.11,1.735,,11.72,0.369
2004-01-02 00:00:00,20.25,1.708,,14.26,0.303
2004-01-02 01:00:00,17.98,0.65,,14.25,0.133
2004-01-02 02:00:00,6.011,0.65,,13.97,0.217
2004-01-02 03:00:00,0.52,0.65,,13.61,0.203
2004-01-02 04:00:00,,0.65,,13.04,0.18
2004-01-02 05:00:00,0.544,0.65,,11.16,0.168
2004-01-02 06:00:00,11.18,0.65,,5.434,0.239
2004-01-02 07:00:00,32.35,0.65,,4.352,0.353
2004-01-02 08:00:00,11.94,2.104,,8.888,0.336
2004-01-02 09:00:00,23.57,0.65,,15.27,0.264
2004-01-02 10:00:00,23.71,0.65,,16.84,0.254
2004-01-02 11:00:00,16.67,1.471,,21.62,0.291
2004-01-02 12:00:00,25.99,0.65,,21.43,0.201
2004-01-02 13:00:00,9.059,0.65,,19.76,0.212
2004-01-02 14:00:00,35.09,0.65,,18.57,0.248
2004-01-02 15:00:00,8.302,0.65,,18.93,0.223
2004-01-02 16:00:00,24.4,0.65,,19.99,0.213
2004-01-02 17:00:00,5.931,0.65,,21.48,0.267
2004-01-02 18:00:00,12.37,0.65,,20.66,0.249
2004-01-02 19:00:00,16.82,0.65,,17.33,0.275
