data,pm10,so2,no2,o3,co
2018-01-01 00:00:00,65.9,8.28,7.68,8.72,0.73
2018-01-01 01:00:00,52.46,7.95,5.14,6.55,0.27
2018-01-01 02:00:00,40.71,7.88,5.92,4.4,0.19
2018-01-01 03:00:00,21.32,7.85,6.73,3.28,0.14
2018-01-01 04:00:00,13.2,8.19,5.49,0.98,0.15
2018-01-01 05:00:00,21.02,8.06,4.96,0.98,0.05
2018-01-01 06:00:00,12.07,8.1,4.54,0.98,0.05
2018-01-01 07:00:00,6.0,7.86,2.96,0.98,0.05
2018-01-01 08:00:00,6.0,7.96,1.77,0.98,0.05
2018-01-01 09:00:00,6.0,7.91,2.97,7.59,0.05
2018-01-01 10:00:00,6.0,7.8,5.87,13.75,0.05
2018-01-01 11:00:00,14.47,7.83,2.2,10.58,0.05
2018-01-01 12:00:00,6.0,7.64,2.69,13.49,0.16
2018-01-01 13:00:00,6.0,7.94,2.17,19.44,0.12
2018-01-01 14:00:00,6.0,7.48,2.83,34.53,0.11
2018-01-01 15:00:00,6.0,7.98,2.6,39.36,0.14
2018-01-01 16:00:00,6.0,8.56,1.81,39.49,0.18
2018-01-01 17:00:00,6.0,8.33,4.27,39.23,0.19
2018-01-01 18:00:00,6.0,7.96,2.49,14.48,0.05
2018-01-01 19:00:00,6.0,7.82,4.42,14.8,0.05
2018-01-01 20:00:00,6.0,7.87,10.68,11.43,0.18
2018-01-01 21:00:00,6.0,7.76,5.85,24.08,0.05
2018-01-01 22:00:00,13.37,7.73,7.78,20.38,0.1
2018-01-01 23:00:00,6.0,7.47,4.78,18.97,0.05
2018-01-02 00:00:00,6.0,7.34,8.18,13.06,0.05
2018-01-02 01:00:00,6.0,7.5,7.35,11.76,0.11
2018-01-02 02:00:00,6.0,7.71,10.48,6.92,0.34
2018-01-02 03:00:00,6.0,7.7,8.96,8.22,0.28
2018-01-02 04:00:00,6.0,7.61,7.35,4.9,0.19
2018-01-02 05:00:00,6.0,7.89,12.34,0.98,0.24
2018-01-02 06:00:00,6.0,8.03,18.92,0.98,0.27
2018-01-02 07:00:00,6.0,8.07,16.66,2.89,0.35
2018-01-02 08:00:00,6.0,8.1,10.34,5.08,0.27
2018-01-02 09:00:00,12.91,8.06,12.28,4.07,0.3
2018-01-02 10:00:00,6.0,7.85,8.73,7.21,0.27
2018-01-02 11:00:00,6.0,7.81,6.58,15.31,0.21
2018-01-02 12:00:00,6.0,7.64,5.54,27.03,0.21
2018-01-02 13:00:00,6.0,7.51,5.08,30.05,0.19
2018-01-02 14:00:00,6.0,7.78,9.86,17.44,0.21
2018-01-02 15:00:00,6.0,7.93,5.58,16.6,0.18
2018-01-02 16:00:00,6.0,7.61,5.29,9.36,0.19
2018-01-02 17:00:00,6.0,7.63,5.22,7.19,0.2
2018-01-02 18:00:00,6.0,7.79,7.31,6.43,0.28
2018-01-02 19:00:00,6.0,7.91,10.8,0.98,0.38
2018-01-02 20:00:00,6.0,7.38,12.65,3.08,0.3
2018-01-02 21:00:00,6.0,7.82,16.7,3.95,0.48
2018-01-02 22:00:00,6.0,7.86,14.99,0.98,0.46
2018-01-02 23:00:00,6.0,8.13,11.36,0.98,0.32
2018-01-03 00:00:00,6.0,7.65,6.01,0.98,0.28
2018-01-03 01:00:00,6.0,7.85,3.92,0.98,0.28
2018-01-03 02:00:00,6.0,7.8,8.6,0.98,0.45
2018-01-03 03:00:00,6.0,7.57,9.14,0.98,0.51
2018-01-03 04:00:00,6.0,8.01,7.92,0.98,0.38
2018-01-03 05:00:00,6.0,8.01,8.01,0.98,0.31
2018-01-03 06:00:00,6.0,8.28,11.41,0.98,0.31
2018-01-03 07:00:00,13.81,8.34,15.13,0.98,0.47
2018-01-03 08:00:00,6.0,8.27,13.37,0.98,0.38
