data,pm10,so2,no2,o3,co
2022-01-01 00:00:00,96.15,15.23,9.48,13.07,
2022-01-01 01:00:00,90.87,14.79,9.08,8.77,
2022-01-01 02:00:00,74.28,14.81,7.18,8.89,
2022-01-01 03:00:00,51.85,14.78,6.76,10.28,
2022-01-01 04:00:00,42.28,14.76,7.55,5.46,
2022-01-01 05:00:00,38.93,14.89,7.7,5.84,
2022-01-01 06:00:00,31.17,15.21,5.95,4.52,
2022-01-01 07:00:00,26.24,15.43,4.39,8.51,
2022-01-01 08:00:00,28.33,14.38,3.66,19.81,
2022-01-01 09:00:00,27.58,19.6,7.6,40.36,
2022-01-01 10:00:00,24.99,35.55,10.49,64.83,
2022-01-01 11:00:00,18.96,62.84,15.92,93.01,
2022-01-01 12:00:00,23.72,88.21,13.94,135.2,
2022-01-01 13:00:00,24.39,65.48,6.3,129.6,
2022-01-01 14:00:00,22.28,34.18,3.85,109.2,
2022-01-01 15:00:00,22.98,22.14,2.21,94.87,
2022-01-01 16:00:00,23.45,18.87,2.3,85.63,
2022-01-01 17:00:00,24.68,17.86,1.72,84.59,
2022-01-01 18:00:00,23.09,17.43,2.07,73.11,
2022-01-01 19:00:00,21.15,16.32,3.14,65.49,
2022-01-01 20:00:00,22.87,15.89,3.96,60.49,
2022-01-01 21:00:00,27.51,15.76,6.96,43.88,
2022-01-01 22:00:00,32.85,15.71,5.53,34.93,
2022-01-01 23:00:00,42.69,15.28,4.59,29.82,
2022-01-02 00:00:00,35.14,15.02,4.48,26.07,
2022-01-02 01:00:00,25.91,15.22,3.99,21.36,
2022-01-02 02:00:00,20.35,15.04,3.82,16.58,
2022-01-02 03:00:00,13.69,15.17,4.45,8.3,
2022-01-02 04:00:00,18.7,15.47,4.77,7.13,
2022-01-02 05:00:00,17.98,15.23,5.31,8.5,
2022-01-02 06:00:00,6,15.21,4.86,8.56,
2022-01-02 07:00:00,6,15.53,3.68,13.74,
2022-01-02 08:00:00,6,15.18,3.4,29.66,
2022-01-02 09:00:00,6,14.66,5.26,51.0,
2022-01-02 10:00:00,6,14.14,4.29,69.27,
2022-01-02 11:00:00,12.49,17.08,5.9,89.84,
2022-01-02 12:00:00,6,26.56,10.32,125.9,
2022-01-02 13:00:00,6,23.12,5.59,129.8,
2022-01-02 14:00:00,6,20.51,5.18,133.9,
2022-01-02 15:00:00,17.58,17.31,3.49,89.35,
2022-01-02 16:00:00,33.55,15.99,2.77,66.49,
2022-01-02 17:00:00,46.73,15.69,2.96,59.03,
2022-01-02 18:00:00,36.86,15.0,3.77,49.07,
2022-01-02 19:00:00,21.36,14.8,6.56,52.31,
2022-01-02 20:00:00,12.66,14.28,7.33,42.46,
2022-01-02 21:00:00,17.52,14.08,5.54,40.4,
2022-01-02 22:00:00,18.57,13.97,6.08,32.83,
2022-01-02 23:00:00,22.65,13.75,12.28,17.16,
2022-01-03 00:00:00,20.49,14.0,13.76,14.52,
2022-01-03 01:00:00,18.53,14.03,11.81,15.64,
2022-01-03 02:00:00,15.19,13.88,6.17,18.41,
2022-01-03 03:00:00,6,13.93,6.59,19.12,
2022-01-03 04:00:00,12.19,13.98,8.66,15.78,
2022-01-03 05:00:00,16.04,13.96,8.89,11.46,
2022-01-03 06:00:00,20.55,14.02,10.78,8.32,
2022-01-03 07:00:00,20.01,14.47,13.36,7.0,
2022-01-03 08:00:00,16.07,14.0,14.24,20.43,
2022-01-03 09:00:00,6,13.84,9.0,40.51,
2022-01-03 10:00:00,6,13.9,8.33,66.91,
2022-01-03 11:00:00,6,13.96,7.69,81.42,
2022-01-03 12:00:00,6,14.0,8.27,108.3,
2022-01-03 13:00:00,6,14.01,7.83,129.2,
2022-01-03 14:00:00,14.28,13.88,8.63,130.1,
2022-01-03 15:00:00,15.81,13.78,7.1,121.1,
2022-01-03 16:00:00,6,13.78,6.52,116.2,
2022-01-03 17:00:00,6,13.79,7.48,99.93,
2022-01-03 18:00:00,6,13.78,5.68,82.04,
2022-01-03 19:00:00,6,13.87,10.25,70.48,
2022-01-03 20:00:00,6,14.01,9.6,63.7,
2022-01-03 21:00:00,25.56,13.86,10.24,50.27,
2022-01-03 22:00:00,31.13,13.98,9.57,43.26,
2022-01-03 23:00:00,31.27,13.85,9.58,31.23,
2022-01-04 00:00:00,29.4,13.8,8.43,26.62,
2022-01-04 01:00:00,32.65,13.71,8.07,22.24,
2022-01-04 02:00:00,26.85,13.8,5.91,21.91,
2022-01-04 03:00:00,22.11,13.77,6.01,17.42,
2022-01-04 04:00:00,24,13.78,7.04,12.84,
2022-01-04 05:00:00,28.46,13.8,7.36,11.4,
2022-01-04 06:00:00,25.33,13.79,10.83,7.22,
2022-01-04 07:00:00,24.14,14.2,13.48,4.75,
2022-01-04 08:00:00,26.63,13.93,19.28,7.45,
2022-01-04 09:00:00,36.97,14.36,15.78,10.32,
2022-01-04 10:00:00,31.7,14.87,16.68,20.57,
2022-01-04 11:00:00,17.54,14.01,19.96,58.02,
2022-01-04 12:00:00,6,14.32,14.11,46.72,
2022-01-04 13:00:00,6,15.17,14.02,50.02,
2022-01-04 14:00:00,6,15.34,20.87,73.44,
2022-01-04 15:00:00,6,13.96,18.14,82.09,
2022-01-04 16:00:00,6,13.82,18.15,88.32,
2022-01-04 17:00:00,6,13.88,12.33,90.95,
2022-01-04 18:00:00,6,13.9,15.4,73.61,
2022-01-04 19:00:00,14.41,13.97,12.33,67.82,
2022-01-04 20:00:00,23.13,13.95,10.48,66.22,
2022-01-04 21:00:00,22.8,13.99,9.44,46.46,
2022-01-04 22:00:00,29.97,13.99,9.43,42.24,
2022-01-04 23:00:00,32.87,13.99,8.16,35.66,
2022-01-05 00:00:00,22.48,13.86,6.22,30.68,
2022-01-05 01:00:00,19.06,13.84,8.04,25.57,
2022-01-05 02:00:00,15.95,13.99,8.61,20.19,
2022-01-05 03:00:00,6,14.23,8.7,15.37,
2022-01-05 04:00:00,6,14.18,6.57,19.53,
2022-01-05 05:00:00,13.09,14.87,7.17,14.76,
2022-01-05 06:00:00,6,16.0,10.09,8.74,
2022-01-05 07:00:00,16.04,15.82,15.27,7.51,
2022-01-05 08:00:00,18.12,15.4,19.83,8.43,
2022-01-05 09:00:00,25.66,18.35,19.21,17.92,
2022-01-05 10:00:00,37.44,18.18,16.41,22.49,
2022-01-05 11:00:00,40,17.99,16.75,24.69,
2022-01-05 12:00:00,30.91,17.15,12.51,31.04,
2022-01-05 13:00:00,18.14,15.95,6.95,43.62,
2022-01-05 14:00:00,22.15,15.9,8.65,29.57,
2022-01-05 15:00:00,21.26,16.15,10.08,17.08,
2022-01-05 16:00:00,13.4,16.23,6.25,22.97,
2022-01-05 17:00:00,6,16.26,5.04,24.02,
2022-01-05 18:00:00,6,16.07,7.49,20.77,
2022-01-05 19:00:00,6,15.84,7.94,17.12,
2022-01-05 20:00:00,6,15.97,7.1,15.7,
2022-01-05 21:00:00,6,15.65,4.25,19.45,
2022-01-05 22:00:00,6,14.56,3.11,19.91,
2022-01-05 23:00:00,6,14.89,3.88,14.7,
2022-01-06 00:00:00,6,15.08,3.62,15.63,
2022-01-06 01:00:00,12.75,14.75,1.9,18.16,
2022-01-06 02:00:00,12.19,15.41,1.37,22.13,
2022-01-06 03:00:00,6,15.16,1.54,19.27,
2022-01-06 04:00:00,6,15.13,2.59,14.48,
2022-01-06 05:00:00,16.88,15.62,3.51,12.74,
2022-01-06 06:00:00,19.86,15.74,5.48,6.14,
2022-01-06 07:00:00,15.57,15.59,9.01,6.33,
2022-01-06 08:00:00,19.61,15.79,7.81,13.44,
2022-01-06 09:00:00,22.69,15.59,4.95,18.84,
2022-01-06 10:00:00,24.42,16.28,2.86,27.42,
2022-01-06 11:00:00,22.9,16.52,2.4,27.99,
2022-01-06 12:00:00,15.97,15.89,1.77,32.09,
2022-01-06 13:00:00,6,14.35,2.2,31.75,
2022-01-06 14:00:00,6,14.05,2.54,31.37,
2022-01-06 15:00:00,6,14.08,2.12,30.74,
2022-01-06 16:00:00,6,14.16,1.64,30.81,
2022-01-06 17:00:00,20.76,14.1,2.09,30.22,
2022-01-06 18:00:00,23.99,14.08,2.88,27.58,
2022-01-06 19:00:00,16.53,14.16,4.25,26.74,
2022-01-06 20:00:00,16.1,14.19,5.48,22.9,
2022-01-06 21:00:00,24.35,14.43,9.64,15.93,
2022-01-06 22:00:00,32.49,15.8,14.53,11.17,
2022-01-06 23:00:00,29.03,16.53,11.38,9.76,
2022-01-07 00:00:00,20.28,16.33,8.35,9.41,
2022-01-07 01:00:00,17.38,15.73,6.7,10.06,
2022-01-07 02:00:00,17.87,15.22,6.44,10.56,
2022-01-07 03:00:00,16.91,14.56,5.06,11.44,
2022-01-07 04:00:00,19.68,14.43,4.27,11.93,
2022-01-07 05:00:00,21.49,14.51,5.34,9.35,
2022-01-07 06:00:00,16.63,15.06,7.48,5.68,
2022-01-07 07:00:00,16.77,15.22,8.02,7.12,
2022-01-07 08:00:00,13.72,14.87,6.46,20.97,
2022-01-07 09:00:00,12.84,15.45,3.5,25.32,
2022-01-07 10:00:00,15.75,15.28,2.96,29.07,
2022-01-07 11:00:00,13.49,15.2,2.19,33.26,
2022-01-07 12:00:00,17.14,15.76,2.77,38.03,
2022-01-07 13:00:00,15.2,15.82,2.52,37.83,
2022-01-07 14:00:00,12.54,15.87,2.28,38.09,
2022-01-07 15:00:00,6,15.25,2.67,34.19,
2022-01-07 16:00:00,6,15.2,3.05,38.61,
