data,pm10,so2,no2,o3,co
2002-01-01 00:00:00,12.33,0.65,0.175,1.694,0.687
2002-01-01 01:00:00,27.23,0.65,0.175,1.835,0.687
2002-01-01 02:00:00,64.91,0.65,0.175,2.417,0.855
2002-01-01 03:00:00,56.32,0.65,0.175,1.014,0.806
2002-01-01 04:00:00,34.89,0.65,0.175,1.514,0.871
2002-01-01 05:00:00,38.01,0.65,0.175,2.779,1.147
2002-01-01 06:00:00,45.89,0.65,0.175,4.158,1.348
2002-01-01 07:00:00,63.79,0.65,0.175,3.915,1.538
2002-01-01 08:00:00,108.8,0.65,0.175,4.25,1.543
2002-01-01 09:00:00,97.83,0.65,0.175,2.234,1.207
2002-01-01 10:00:00,70.17,0.65,0.175,0.5,0.73
2002-01-01 11:00:00,51.51,0.65,0.175,0.5,0.373
2002-01-01 12:00:00,4.63,0.65,0.175,0.5,0.22
2002-01-01 13:00:00,9.56,0.65,0.526,1.417,0.159
2002-01-01 14:00:00,22.03,0.65,0.815,1.271,0.148
2002-01-01 15:00:00,19.38,0.65,1.272,1.896,0.133
2002-01-01 16:00:00,12.74,0.65,1.482,1.548,0.123
2002-01-01 17:00:00,11.59,0.65,0.175,0.5,0.129
2002-01-01 18:00:00,8.69,0.65,0.61,1.09,0.147
2002-01-01 19:00:00,11.53,0.65,0.175,0.5,0.182
2002-01-01 20:00:00,18.65,0.65,0.175,0.5,0.252
2002-01-01 21:00:00,20.11,0.65,0.175,0.5,0.352
2002-01-01 22:00:00,23.76,0.65,0.175,0.5,0.487
2002-01-01 23:00:00,20.76,0.65,0.175,0.5,0.566
2002-01-02 00:00:00,13.22,0.65,0.175,0.5,0.575
2002-01-02 01:00:00,15.5,0.65,0.175,0.5,0.551
2002-01-02 02:00:00,21.25,0.65,0.175,0.5,0.499
2002-01-02 03:00:00,20.21,0.65,0.175,0.5,0.407
2002-01-02 04:00:00,17.61,0.65,0.175,0.5,0.327
2002-01-02 05:00:00,17.88,0.65,0.175,0.5,0.268
2002-01-02 06:00:00,18.58,0.65,0.175,0.5,0.306
2002-01-02 07:00:00,21.43,0.65,0.175,0.5,0.435
